Massban 2 Dust	İnsektisitler	Toz Formülasyon	20.05.1996	2938	Chlorpyrifos-Ethyl	% 2	Mass	
Megaban	İnsektisitler	Toz Formülasyonlar	06.11.1997	3283	Chlorpyrifos-Ethyl	% 2	Doğal	
Sarban 2 Dust	İnsektisitler	Toz Formülasyonlar	10.07.1998	3444	Chlorpyrifos-Ethyl	% 2	Safa	
Fullban 2 Toz	İnsektisitler	Toz Formülasyonlar	22.06.1998	3435	Chlorpyrifos-Ethyl	% 2	Polisan	
Korban 25 Dust	İnsektisitler	Toz Formülasyonlar	01.07.1981	1408	Chlorpyrifos-Ethyl	% 25	Koruma	
Agrosban 25 Toz	İnsektisitler	Toz Formülasyonlar	18.09.1985	1811	Chlorpyrifos-Ethyl	% 25	Agro-San	
İstban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	10.05.1996	2933	Chlorpyrifos-Ethyl	% 25	İlteriş	
Korban 25 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	17.12.1981	1469	Chlorpyrifos-Ethyl	% 25	Koruma	
Pyrinex 25 WP	İnsektisitler	Islanablir Toz Formülasyonlar	25.03.1981	1394	Chlorpyrifos-Ethyl	% 25	Hektaş	
Pyrinenex 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	10.11.1983	1615	Chlorpyrifos-Ethyl	% 25	Hektaş	
Terpan 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	19.12.1984	1721	Chlorpyrifos-Ethyl	% 25	Midiltipi	
Priban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	03.01.1986	1857	Chlorpyrifos-Ethyl	% 25	Takimsan	
Agrosban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	07.04.1987	1993	Chlorpyrifos-Ethyl	% 25	Agro-San	
Dursban 25 W	İnsektisitler	Islanabilir Toz Formülasyonlar	03.08.1988	2171	Chlorpyrifos-Ethyl	% 25	Dow AgroSciences	
Dursban 25 W	İnsektisitler	Islanabilir Toz Formülasyonlar	07.05.1993	2633	Chlorpyrifos-Ethyl	% 25	Dow AgroSciences	
Jokker 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	25.01.1994	2698	Chlorpyrifos-Ethyl	% 25	Cansa	
Megaban 25 Wp	İnsektisitler	Islanabilir Toz Formülasyonlar	22.07.1994	2751	Chlorpyrifos-Ethyl	% 25	Doğal	
Florban 25 WP	İnsektisitler	Isanabilir Toz Formülasyonlar	01.11.1994	2763	Chlorpyrifos-Ethyl	% 25	Flogaz	
Massban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	05.09.1996	2998	Chlorpyrifos-Ethyl	 % 25	Mass	
Cyren 25 WP	İnsektisitler	Islanabilier Toz Formülasyonla	28.07.1997	3225	Chlorpyrifos-Ethyl	% 25	Aventis	
Cansaban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	29.07.1997	3231	Chlorpyrifos-Ethyl	% 25	Cansa	
Safban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	02.09.1997	3252	Chlorpyrifos-Ethyl	% 25 	Safa	
Megaban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	23.09.1997	3269	Chlorpyrifos-Ethyl	% 25 	Doğal	
Fullban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	19.06.1998	3433	Chlorpyrifos-Ethyl	% 25	Polisan	
Dekban 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	09.07.2001	3967	Chlorpyrifos-Ethyl	% 25	Adeko	
Devran 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	28.12.2001	4063	Chlorpyrifos-Ethyl	% 25	Pulcu	
Korban 4 	İnsektisitler	Sıvı Formülasyonlar	28.01.1981	1375	Chlorpyrifos-Ethyl	480 g/l	Koruma	
Bayer Endosulfan Toz 5	İnsektisitler	Toz Formilasyonlar	10.04.1974	932	Endosulfan	%5	Bayer	
hektionex %5 Toz	İnsektisitler	Toz Formilasyonlar	01.02.1978	1122	Endisulfan	%5	Hektaş	
sulfanex %5 Toz	İnsektisitler	Toz Formilasyonlar	22.01.1987	1971	Endosulfan	%5	Agro-San	
Thiodan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	05.06.1967	534	Endosulfan	%32.9	Aventis	
Hektionex 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	02.04.1979	1274	Endosulfan	%32.9	Hektaş	
Kimyagerler Endosulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	29.05.1979	1289	Endosulfan	%32.9	Kimyagerler	
Tihiosulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	02.05.1986	1903	Endosulfan	%32,9	Midiltipi	
Sulfanex 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	15.09.1986	1945	Endosulfan	%32,9	Agro-San	
Korsulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	22.01.1987	1970	Endosulfan	%32,9	Koruma	
Parasulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	24.07.1987	2010	Endosulfan	%32,9	Takimsan	
Bayer Endosulfan WP 35	İnsektisitler	Islanabilir Toz Formilasyonlar	10.02.1988	2127	Endosulfan	%32,9	Bayer	
Thiodan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	02.01.1989	2256	Endosulfan	%32,9	Aventis	
Adeko Endosulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	02.02.1997	3099	Endosulfan	%32,9	Adeko	
Rhonsonfan   35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	03.04.1997	3135	Endosülfan	%32.9	Aventis	
Fosforin M	İnsektisitler	EC	11.03.1991	2425	Methyl Parathion	360 gr/lt	Hektaş	
Berko Endesulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	13.05.1997	3167	Endosulfan	%32.9	Berko	
İldosülfan 35 wp	İnsektisitler	Islanabilir Toz Formilasyonlar	18.06.1997	3186	Endesülfan	%32.9	İlteriş	
Megasulfan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	29.12.1997	3297	Endesülfan	%32.9	Safa	
Endol 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	22.10.1998	3324	Endosülfan	%32.9	Doğal	
Polidan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	27.07.1998	3456	Endosülfan	%32.9	Polisan	
Karaldan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	24.12.1998	3556	Endesülfan	%32.9	Kral Kimya	
Sialan 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	06.03.2000	3733	Endesülfan	%32.9	Tancan	
Endonex 35 WP	İnsektisitler	Islanabilir Toz Formilasyonlar	24.08.2000	3816	Endosülfan	%32.9	Ağro Altın	
Pyrinex 48 EC	İnsektisitler	Sıvı Formülasyonlar	25.03.1981	1393	Chlorpyrifos-Ethyl	480 g/l	Hektaş	
Pyrinex 48 EC	İnsektisitler	Sıvı Formülasyonlar	03.02.1984	1638	Chlorpyrifos-Ethyl	480 g/l	Hektaş	
Agrosban 4	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1812	Chlorpyrifos-Ethyl	480 g/l	Agro-San	
Dursban 4 	İnsektisitler	Sıvı Formülasyonlar	26.09.1985	1828	Chlorpyrifos-Ethyl	480 g/l	Dow AgroSciences	
Priban 48 EC	İnsektisitler	Sıvı Formülasyonlar	23.12.1985	1853	Chlorpyrifos-Ethyl	480 g/l 	Takimsan	
Terpan 4 EC	İnsektisitler	Sıvı Formülasyonlar	16.07.1986	1920	Chlorpyrifos-Ethyl	480 g/l	Midiltipi	
İstban 48 EC,	İnsektisitler	Sıvı Formülasyanlar	18.08.1988	2174	Chlorpyrifos-Ethyl	480 g/l	İlteriş	
Fullban 4 EC	İnsektisitler	Sıvı Formülasyonlar	31.07.1990	2389	Chlorpyrifos-Ethyl	480 g/l	Polisan	
Jokker 4 	İnsektisitler	Sıvı Formülasyonlar	30.11.1993	2674	Chlorpyrifos-Ethyl	480 g/l	Cansa	
Megaban 4	İnsektisitler	Sıvı Formülasyonlar	18.11.2004	4233	Chlorpyrifos-Ethyl	480 g/l	Doğal	
Bullet 48 EC	İnsektisitler	Sıvı Formülasyonlar	01.11.1994	2762	Chlorpyrifos-Ethyl	480 g/l	Monsanto 	
Hilban 4 EC	İnsektisitler	Sıvı Formülasyonlar	30.05.1995	2823	Chlorpyrifos-Ethyl	480 g/l	İzmir Kimya	
Rochlop 48 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1996	3003	Chlorpyrifos-Ethyl	480 g/l	Özkan	
Ödül Cloroban 4 EC	İnsektisitler	Sıvı Formülasyonlar	17.06.1997	3184	Chlorpyrifos-Ethyl	480 g/l	Ödül Kimya	
Cansaban 48 EC	İnsektisitler	Sıvı Formülasyonlar	11.07.1997	3218	Chlorpyrifos-Ethyl	480 g/l	Cansa	
Dorpan 48 EC	İnsektisitler	Sıvı Formülasyonlar	31.07.1997	3236	Chlorpyrifos-Ethyl	480 g/l	Agrikem	
Safban 4 E	İnsektisitler	Sıvı Formülasyonlar	15.09.1997	3260	Chlorpyrifos-Ethyl	480 g/l	Safa	
Cyren 4 EC	İnsektisitler	Sıvı Formülasyonlar	06.08.1998	3462	Chlorpyrifos-Ethyl	480 g/l	Aventis	
